humidity,temp,dewSpread,cloudLow,cloudMid,cloudHigh,cloudTotal,wind,pressure,precip24,precip48,precipToday,wetThenClear,nightCloudHigh,nightCloudTotal,nightCloudLow,nightCooling,windDir,humidityNight,humidityRise,elevation,month,label,date,lat,lon,source
99.75,-4.300000000000001,0.02499999999999991,100,0,0,100,12.575,1023.325,0,2.9000000000000004,0,0,0,38,38,3.533333333333333,160,94.6,5.150000000000006,1545,2,1,2026-02-25,36.25,117.1,xhs
67,-0.5999999999999999,5.3999999999999995,0,0,7.75,7.75,1.2999999999999998,1008.0250000000001,0.7000000000000001,1.1,0,0,4.4,4.4,0,2.5,243,81.8,-14.799999999999997,3077,2,1,2026-02-21,29.52,103.33,xhs
99.25,-3.1500000000000004,0.09999999999999998,99,0,0,99,2.4,1024.375,0.8,0.8,0,0,3.8,100,100,1.6666666666666667,209,100,-0.75,1817,2,1,2026-02-20,28.91,118.06,xhs
81.5,-1.0999999999999999,2.8,100,5.25,0.5,100,8.65,1019.175,1.2,2.8000000000000007,0,0,11,100,100,2.1166666666666667,70,89.4,-7.900000000000006,3660,2,1,2026-02-09,29.66,102.35,xhs
97.75,10.35,0.3749999999999991,4.25,28,49.25,72.5,1.375,1017.3000000000001,24.9,62.400000000000006,1.5000000000000002,0,23.2,100,19.4,0.1999999999999993,243,97.8,-0.04999999999999716,1291,10,1,2025-10-11,39.97,116.06,xhs
96,14.5,0.625,13.75,0,0.25,14,5.1,1013.7249999999999,0,0,1.8000000000000007,0,0,0.2,0.2,3.1666666666666696,129,93.4,2.5999999999999943,1545,9,1,2025-09-15,36.25,117.1,xhs
95.25,18.9,0.7500000000000009,4.75,0,84,84.5,2.2750000000000004,1010.775,0,3.9,0.6000000000000001,0,82.6,89.8,59.8,2,312,98.6,-3.3499999999999943,2240,8,1,2025-08-16,39.97,115.5,xhs
95.5,18.875,0.7249999999999996,1,5.5,12,17.75,3.8000000000000003,1002.1999999999999,0.5,0.6,1.2,0,16.6,34.8,4,2.7666666666666657,73,94.8,0.7000000000000028,1545,8,1,2025-08-02,36.25,117.1,xhs
98.25,20.775,0.25,71.5,15.25,74.5,98,3.575,1000.4999999999999,0,6.5,0.1,0,100,100,33.4,2.8000000000000007,310,98.8,-0.5499999999999972,2303,7,1,2025-07-05,39.97,115.46,xhs
61.25,4.9,6.875,0.25,100,94.5,100,8.600000000000001,1028.15,0.30000000000000004,0.30000000000000004,0,0,40,82.4,0,6.483333333333333,46,58.6,2.6499999999999986,285,3,1,2025-03-15,36.64,117.05,bilibili
